,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region_Code
서울,강남구,11,4,8,6,5,9,18,5,6,6,1,1,0,5,5,5,2,2,0,0,3,1,1,11
서울,강동구,20,14,8,4,5,8,11,3,7,14,3,3,0,0,5,10,3,1,3,5,0,1,2,11
서울,강북구,11,16,3,7,6,12,11,4,3,12,2,3,1,2,4,3,1,2,3,1,0,3,2,11
서울,강서구,22,30,9,3,15,32,36,6,19,18,5,9,4,11,6,4,6,10,10,5,4,7,22,11
서울,관악구,14,17,10,5,13,8,17,8,8,10,5,1,6,5,5,6,2,2,12,2,0,1,3,11
서울,광진구,9,9,4,4,8,9,6,5,5,9,1,2,1,2,3,3,2,4,5,3,0,3,1,11
서울,구로구,14,10,10,1,21,14,6,6,5,15,6,2,0,7,8,6,2,3,0,3,4,2,4,11
서울,금천구,14,8,3,5,7,9,6,5,5,10,4,2,1,2,5,1,5,1,1,0,0,1,3,11
서울,노원구,22,11,9,13,7,5,12,7,11,25,1,2,3,6,6,5,1,4,7,7,2,2,4,11
서울,도봉구,20,8,9,5,9,11,17,8,8,11,6,2,7,2,3,3,2,4,3,2,1,5,4,11
서울,동대문구,7,17,5,3,6,14,13,3,8,8,4,1,0,1,3,3,2,0,3,2,2,1,5,11
서울,동작구,21,12,12,4,2,9,15,1,9,5,5,1,4,4,4,6,2,2,5,2,0,1,4,11
서울,마포구,10,13,6,9,14,11,12,5,7,13,5,2,0,2,3,2,3,9,6,2,3,1,2,11
서울,서대문구,21,13,6,2,8,13,12,9,6,9,7,4,1,5,6,2,3,3,2,1,3,1,0,11
서울,서초구,7,4,3,1,5,9,10,1,4,16,2,2,0,1,2,6,2,0,6,2,3,3,1,11
서울,성동구,20,12,5,8,10,4,11,5,5,10,2,2,0,2,0,3,3,1,1,1,1,0,1,11
서울,성북구,24,8,3,1,9,11,11,7,5,8,5,1,2,5,1,1,6,5,3,4,1,2,4,11
서울,송파구,9,10,10,9,14,7,16,3,8,12,5,1,5,5,1,11,0,6,4,2,0,7,2,11
서울,양천구,23,18,7,8,8,15,18,11,7,21,9,10,0,7,3,4,7,5,2,5,4,4,8,11
서울,영등포구,18,11,8,6,7,12,11,4,9,11,6,5,3,4,4,3,4,9,4,0,3,1,5,11
서울,용산구,8,4,5,4,3,2,11,2,4,11,3,2,2,6,4,3,3,4,4,2,2,5,3,11
서울,은평구,19,17,17,14,16,23,22,9,14,18,4,6,3,5,5,3,2,3,8,1,3,5,5,11
서울,종로구,3,2,2,4,5,10,4,3,4,4,1,1,0,3,1,1,1,1,1,1,1,1,2,11
서울,중구,5,6,1,3,0,3,5,1,1,6,0,0,0,1,1,2,1,0,2,1,0,2,3,11
서울,중랑구,18,11,7,7,10,12,3,5,10,8,1,1,2,3,3,1,3,1,5,3,0,0,3,11
부산,강서구,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,26
부산,금정구,4,4,0,3,4,3,2,1,6,8,1,1,0,0,0,0,0,0,1,0,0,0,0,26
부산,기장군,1,3,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,26
부산,남구,4,4,3,1,1,5,6,4,3,5,4,1,0,1,1,2,0,0,2,0,0,1,1,26
부산,동구,5,1,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26
부산,동래구,4,4,4,2,3,6,3,2,3,4,1,1,0,1,0,0,0,1,0,1,0,1,2,26
부산,부산진구,10,7,1,2,0,9,3,3,3,1,1,0,0,2,0,2,0,0,3,0,0,0,0,26
부산,북구,5,4,2,0,1,2,3,1,1,4,2,1,1,1,0,1,0,0,3,0,0,0,0,26
부산,사상구,2,2,2,2,2,6,5,0,3,4,2,1,1,1,1,0,0,1,0,0,0,0,2,26
부산,사하구,10,4,5,2,2,4,5,6,2,4,4,0,0,2,0,1,0,2,2,0,1,0,0,26
부산,서구,2,3,0,1,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,26
부산,수영구,5,2,0,0,2,3,2,3,1,3,1,1,1,1,0,0,0,0,0,0,0,2,0,26
부산,연제구,3,2,1,0,2,5,2,0,1,0,1,1,1,0,2,0,0,0,0,0,0,1,0,26
부산,영도구,4,4,2,0,3,7,2,1,0,1,2,0,2,2,0,0,1,2,0,0,1,0,0,26
부산,중구,3,1,2,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26
부산,해운대구,4,4,1,2,4,9,7,1,6,5,2,0,2,1,1,3,2,2,2,1,0,2,0,26
대구,남구,4,1,1,3,2,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,27
대구,달서구,0,9,3,3,4,7,8,6,9,4,3,0,1,2,2,1,1,2,1,0,0,0,0,27
대구,달성군,3,1,1,0,0,1,1,0,2,1,1,0,2,2,0,2,2,1,0,0,0,1,0,27
대구,동구,6,1,0,1,4,2,4,2,3,5,5,0,2,0,0,1,0,0,1,0,0,0,0,27
대구,북구,3,2,3,1,1,8,8,3,2,4,3,1,0,0,1,3,0,2,0,1,0,1,1,27
대구,서구,6,4,0,2,1,5,6,1,4,2,1,3,0,1,0,2,0,4,0,2,0,0,1,27
대구,수성구,7,7,5,1,4,1,8,3,4,3,3,0,2,2,0,1,1,4,0,0,1,0,0,27
대구,중구,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27
대구,군위군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
인천,강화군,135,145,66,53,117,207,225,82,55,88,53,55,32,26,30,23,17,14,15,16,15,12,20,28
인천,계양구,18,10,7,1,11,26,25,5,13,13,7,10,13,14,5,11,3,11,10,6,6,3,10,28
인천,미추홀구,16,15,14,7,13,41,32,10,5,19,11,5,6,9,10,6,7,8,3,3,1,6,18,28
인천,남동구,17,19,12,5,14,24,18,6,13,22,7,12,1,6,9,10,11,4,10,4,2,3,14,28
인천,동구,7,2,7,4,5,10,11,4,5,7,2,2,0,3,1,3,1,0,1,0,1,1,3,28
인천,부평구,33,20,17,11,18,42,42,12,24,24,13,9,11,10,12,4,5,11,2,1,2,8,8,28
인천,서구,31,35,29,12,19,64,81,25,28,46,16,20,11,38,19,17,24,22,28,8,11,20,38,28
인천,연수구,8,7,3,10,8,16,17,6,10,14,3,5,5,9,10,5,8,9,12,6,5,7,10,28
인천,옹진군,5,8,2,2,7,10,7,8,7,10,2,8,2,4,3,0,0,1,2,1,0,0,0,28
인천,중구,5,6,9,2,10,25,26,6,4,13,8,14,3,12,9,5,4,2,4,3,3,3,5,28
광주,광산구,4,3,3,1,1,1,2,2,2,2,1,1,2,0,1,1,6,3,2,1,0,0,0,29
광주,남구,7,5,4,3,0,2,0,2,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,29
광주,동구,2,0,3,0,0,1,2,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,1,29
광주,북구,11,6,0,10,6,7,3,3,2,5,2,0,1,2,0,0,1,0,1,1,0,0,2,29
광주,서구,8,3,7,2,1,4,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,29
대전,대덕구,6,3,0,2,1,2,3,0,2,3,3,0,0,1,1,0,0,1,1,0,0,1,0,30
